,county,median_family,median_household,n_households,per_capita,population,state
822,Linn,"$52,761","$45,519","4,234","$26,224","9,580",Kansas
823,Clark,"$60,666","$52,873","710,058","$26,217","1,976,925",Nevada
824,Pratt,"$60,000","$46,035","4,074","$26,209","9,730",Kansas
825,Rutland,"$61,516","$49,271","25,754","$26,205","61,270",Vermont
826,Greene,"$57,150","$45,865","3,969","$26,205","9,255",Iowa
827,Charles City County,"$58,893","$48,428","2,850","$26,198","7,205",Virginia
828,Leon,"$68,516","$46,369","110,377","$26,196","278,624",Florida
829,Hyde,"$67,292","$47,813",549,"$26,195","1,387",South Dakota
830,Lincoln,"$62,464","$48,158","15,067","$26,188","36,128",Nebraska
831,Worth,"$60,159","$50,476","3,197","$26,187","7,562",Iowa
832,Guadalupe,"$71,325","$61,958","46,409","$26,184","135,940",Texas
833,Harrison,"$67,468","$54,583","5,996","$26,184","14,729",Iowa
834,Potter,"$53,750","$44,556","1,051","$26,180","2,323",South Dakota
835,Cole,"$66,712","$53,931","29,302","$26,160","76,228",Missouri
836,Buncombe,"$56,616","$44,713","100,838","$26,159","241,801",North Carolina
837,Duval,"$59,238","$48,323","330,897","$26,143","872,598",Florida
838,Hancock,"$64,032","$49,589","30,610","$26,139","75,239",Ohio
839,Ransom,"$66,076","$49,788","2,283","$26,137","5,472",North Dakota
840,Erie,"$60,856","$46,498","31,972","$26,135","76,634",Ohio
841,Ohio County,"$57,865","$41,025","18,553","$26,135","44,156",West Virginia
842,Sheboygan,"$65,968","$52,920","46,312","$26,126","115,235",Wisconsin
843,Dawson,"$63,551","$50,405","3,885","$26,126","9,132",Montana
844,Golden Valley,"$64,821","$36,100",754,"$26,113","1,698",North Dakota
845,Hutchinson,"$59,403","$42,451","2,937","$26,110","7,239",South Dakota
846,Beaver,"$60,483","$51,422","2,108","$26,109","5,605",Oklahoma
847,Salt Lake,"$70,215","$60,555","344,089","$26,103","1,048,314",Utah
848,Franklin,"$54,625","$48,355","4,358","$26,102","10,623",Iowa
849,Franklin,"$56,875","$43,011","1,398","$26,095","3,181",Nebraska
850,Stearns,"$69,196","$54,551","56,737","$26,065","151,053",Minnesota
851,Renville,"$58,599","$50,802","6,400","$26,062","15,499",Minnesota
852,Jackson,"$60,580","$47,015","271,545","$26,062","675,641",Missouri
853,Winchester City,"$56,967","$44,200","10,393","$26,060","26,587",Virginia
854,Nelson,"$59,191","$48,789","6,404","$26,059","14,940",Virginia
855,Shawnee,"$63,230","$48,451","72,584","$26,057","178,378",Kansas
856,Perry,"$66,005","$57,375","18,173","$26,048","45,808",Pennsylvania
857,,"$61,371","$48,308","4,557,655","$26,046","11,549,590",
858,Koochiching,"$56,065","$41,108","6,134","$26,045","13,251",Minnesota
859,Davis,"$76,888","$69,707","95,238","$26,035","311,886",Utah
860,Lorain,"$63,212","$51,816","116,705","$26,030","301,720",Ohio
861,Lyon,"$70,016","$49,594","10,083","$26,028","25,703",Minnesota
862,Hand,"$59,671","$47,679","1,429","$26,027","3,433",South Dakota
863,Woods,"$65,064","$51,619","3,439","$26,022","8,849",Oklahoma
864,,"$61,066","$51,900","8,886,471","$26,019","25,639,373",
865,Big Stone,"$56,012","$46,313","2,347","$26,019","5,209",Minnesota
866,Chippewa,"$64,608","$49,434","5,093","$25,993","12,272",Minnesota
867,Niagara,"$63,523","$47,955","88,376","$25,991","215,465",New York
868,Sauk,"$65,561","$52,140","25,206","$25,988","62,353",Wisconsin
869,Story,"$76,860","$50,516","35,196","$25,986","90,750",Iowa
870,Marshall,"$62,827","$51,504","5,021","$25,975","12,454",Illinois
871,Clinton,"$63,452","$49,559","20,008","$25,966","48,896",Iowa
872,Saline,"$66,936","$55,348","41,287","$25,962","109,844",Arkansas
873,Wood,"$60,258","$47,685","32,037","$25,961","74,469",Wisconsin
874,McCracken,"$57,709","$44,898","27,037","$25,957","65,610",Kentucky
875,Waupaca,"$61,581","$50,822","21,388","$25,956","52,300",Wisconsin
876,Carbon,"$65,402","$55,347","6,077","$25,947","15,809",Wyoming
877,St. Louis County,"$63,168","$46,517","85,238","$25,946","200,327",Minnesota
878,Tuolumne,"$59,152","$48,426","22,025","$25,943","54,728",California
879,Oconto,"$62,599","$51,615","15,701","$25,941","37,531",Wisconsin
880,Monroe,"$65,363","$53,972","58,702","$25,939","151,408",Michigan
881,Jackson,"$60,714","$43,606",648,"$25,936","1,371",Colorado
882,Morgan,"$55,030","$47,729","6,513","$25,933","17,870",Georgia
883,Gwinnett,"$66,432","$60,445","266,952","$25,932","825,911",Georgia
884,Garfield,"$59,423","$45,096",465,"$25,921","1,145",Montana
885,Walworth,"$59,449","$41,826","2,342","$25,915","5,477",South Dakota
886,San Benito,"$71,425","$66,237","16,995","$25,914","56,115",California
887,Henderson,"$60,066","$49,389","3,202","$25,902","7,186",Illinois
888,Wheeler,"$53,015","$38,807",379,"$25,898",869,Nebraska
889,Chelan,"$61,230","$51,354","27,220","$25,893","73,047",Washington
890,Kent,"$63,176","$51,667","229,373","$25,889","609,544",Michigan
891,Boone,"$67,049","$60,893","17,938","$25,888","54,068",Illinois
892,Austin,"$64,760","$53,265","10,615","$25,884","28,573",Texas
893,Ida,"$58,470","$43,449","3,182","$25,869","7,099",Iowa
894,Clay,"$66,788","$53,776","4,216","$25,867","10,651",Texas
895,Clallam,"$59,169","$46,033","30,814","$25,865","71,731",Washington
896,Otoe,"$63,841","$50,881","6,438","$25,855","15,727",Nebraska
897,Currituck,"$66,626","$57,159","9,121","$25,854","23,880",North Carolina
898,Pottawattamie,"$63,669","$51,304","36,460","$25,847","92,962",Iowa
899,Monongalia,"$68,101","$44,173","36,449","$25,846","98,483",West Virginia
900,Walton,"$56,484","$43,640","22,639","$25,845","56,590",Florida
901,Lincoln,"$71,523","$64,205","6,245","$25,834","18,100",Wyoming
902,Brown,"$59,221","$51,568","5,889","$25,833","15,128",Indiana
903,Wright,"$59,070","$45,205","5,367","$25,827","13,092",Iowa
904,Manitowoc,"$63,889","$48,881","34,067","$25,825","81,098",Wisconsin
905,Sanborn,"$62,583","$48,384","1,051","$25,823","2,348",South Dakota
906,Hampden,"$61,474","$49,094","177,990","$25,817","465,144",Massachusetts
907,Lincoln,"$60,478","$47,195","4,457","$25,816","10,481",Washington
908,Hancock,"$60,921","$50,105","4,648","$25,814","11,243",Iowa
909,Banner,"$51,750","$36,875",330,"$25,814",816,Nebraska
910,Barton,"$56,250","$44,981","11,491","$25,800","27,602",Kansas
911,Polk,"$64,911","$50,695","12,663","$25,790","31,522",Minnesota
912,Flathead,"$56,284","$46,581","36,901","$25,790","91,536",Montana
913,Sibley,"$64,750","$54,017","6,090","$25,789","15,146",Minnesota
914,Valley,"$60,100","$50,473","3,519","$25,785","9,698",Idaho
915,Morgan,"$63,148","$55,354","25,621","$25,781","69,217",Indiana
916,Wasatch,"$70,303","$65,050","7,602","$25,777","24,542",Utah
917,Edmunds,"$65,179","$49,831","1,589","$25,775","4,051",South Dakota
918,Kingfisher,"$61,528","$54,666","5,733","$25,773","15,069",Oklahoma
919,Kennebec,"$59,915","$46,808","51,719","$25,770","121,757",Maine
920,Calhoun,"$55,234","$44,484","4,356","$25,766","9,952",Iowa
921,Missoula,"$62,988","$46,117","45,523","$25,764","110,243",Montana
922,Richland,"$62,935","$48,359","143,874","$25,763","389,708",South Carolina
923,Custer,"$50,000","$32,427","2,048","$25,761","4,245",Colorado
924,Kalamazoo,"$62,159","$45,775","100,072","$25,757","252,763",Michigan
925,Haakon,"$64,120","$47,198",807,"$25,754","1,944",South Dakota
926,Polk,"$58,842","$48,538","18,266","$25,751","43,905",Wisconsin
927,Perkins,"$56,429","$38,362","1,364","$25,751","2,943",South Dakota
928,Swift,"$64,250","$48,026","4,315","$25,750","9,678",Minnesota
929,Plaquemines,"$66,800","$55,138","8,615","$25,748","23,385",Louisiana
930,Franklin,"$63,117","$52,637","58,273","$25,741","150,594",Pennsylvania
931,,"$63,195","$49,495","323,136","$25,740","825,198",
932,Cedar,"$58,542","$48,038","3,529","$25,738","8,790",Nebraska
933,Waseca,"$66,173","$53,657","7,328","$25,723","19,046",Minnesota
934,Caroline,"$64,258","$57,218","10,680","$25,718","28,757",Virginia
935,Champaign,"$69,554","$45,808","79,137","$25,713","202,428",Illinois
936,LaSalle,"$64,693","$52,640","44,257","$25,709","113,295",Illinois
937,Greene,"$60,571","$49,655","18,365","$25,700","48,928",New York
938,Harding,"$49,167","$34,063",261,"$25,686",687,New Mexico
939,Valley,"$58,668","$47,181","3,248","$25,685","7,465",Montana
940,,"$60,793","$48,411","3,823,280","$25,681","9,886,095",
941,Clatsop,"$54,849","$44,683","15,749","$25,680","37,157",Oregon
942,Henderson,"$57,062","$44,815","45,246","$25,670","107,583",North Carolina
943,Freeborn,"$58,220","$44,683","13,230","$25,668","31,129",Minnesota
944,Meeker,"$63,881","$53,904","9,288","$25,665","23,197",Minnesota
945,Wise,"$63,661","$56,005","20,487","$25,663","59,894",Texas
946,Ellis,"$69,685","$61,952","51,016","$25,662","152,020",Texas
947,Spokane,"$62,589","$49,233","187,572","$25,661","473,832",Washington
948,Roseau,"$59,226","$50,759","6,402","$25,650","15,587",Minnesota
949,Redwood,"$60,685","$47,447","6,507","$25,649","15,942",Minnesota
950,,"$59,527","$47,380","2,360,131","$25,649","6,007,182",
951,Rockbridge,"$59,165","$48,313","9,234","$25,638","22,345",Virginia
952,Jessamine,"$58,733","$49,024","18,012","$25,637","49,112",Kentucky
953,Watonwan,"$61,064","$49,698","4,445","$25,635","11,173",Minnesota
954,Smith,"$60,259","$47,432","78,459","$25,626","212,227",Texas
955,Jefferson,"$67,058","$53,454","32,137","$25,625","83,985",Wisconsin
956,Camden,"$70,025","$56,607","3,580","$25,620","10,037",North Carolina
957,Logan,"$66,917","$53,591","14,927","$25,620","42,871",Oklahoma
958,Sedgwick,"$63,042","$49,865","192,651","$25,603","500,768",Kansas
959,Newton,"$57,870","$50,262","5,374","$25,594","14,151",Indiana
960,Lackawanna,"$59,573","$46,044","85,769","$25,594","214,275",Pennsylvania
961,Boone,"$59,278","$45,246","2,242","$25,590","5,441",Nebraska
962,Dubois,"$66,988","$54,780","15,890","$25,589","42,103",Indiana
963,Codington,"$63,037","$47,214","11,566","$25,582","27,439",South Dakota
964,Adams,"$65,286","$49,440","12,578","$25,571","31,367",Nebraska
965,Adair,"$60,232","$47,892","3,295","$25,564","7,588",Iowa
966,Hardin,"$64,383","$53,013","20,633","$25,559","54,945",Texas
967,Pocahontas,"$56,607","$44,073","3,227","$25,556","7,243",Iowa
968,Lincoln,"$60,059","$48,940","29,994","$25,550","78,761",North Carolina
969,Shelby,"$57,213","$46,250","343,517","$25,549","932,919",Tennessee
970,Centre,"$70,654","$50,336","57,197","$25,545","154,460",Pennsylvania
971,Gray,"$63,875","$57,808","2,066","$25,537","6,012",Kansas
972,Republic,"$52,944","$39,572","2,274","$25,531","4,919",Kansas
973,Alpine,"$76,645","$58,636",394,"$25,527","1,165",California
974,Trigg,"$53,893","$45,629","5,935","$25,527","14,289",Kentucky
975,Liberty,"$58,438","$44,493",847,"$25,522","2,357",Montana
976,Augusta,"$60,614","$52,027","27,999","$25,519","73,726",Virginia
977,Uinta,"$73,060","$58,515","7,290","$25,513","21,040",Wyoming
978,Monroe,"$65,433","$57,408","58,875","$25,494","168,947",Pennsylvania
979,,,,,"$25,490",,
980,Isanti,"$68,053","$57,353","13,860","$25,482","38,078",Minnesota
981,Putnam,"$72,075","$61,192","13,022","$25,481","34,339",Ohio
982,Marion,"$69,241","$54,723","12,691","$25,477","33,318",Iowa
983,Weld,"$66,840","$57,180","90,465","$25,468","258,780",Colorado
984,Jersey,"$63,789","$53,954","8,752","$25,467","22,850",Illinois
985,Fillmore,"$60,897","$48,464","2,444","$25,460","5,818",Nebraska
986,Becker,"$59,844","$50,214","13,476","$25,455","32,800",Minnesota
987,Lincoln,"$49,213","$43,014","8,685","$25,449","20,359",New Mexico
988,Ford,"$60,799","$48,866","5,651","$25,448","13,991",Illinois
989,Cass,"$52,403","$43,481","6,081","$25,448","13,793",Iowa
990,Ohio County,"$59,539","$50,377","2,422","$25,443","6,075",Indiana
991,Shackelford,"$56,875","$47,277","1,445","$25,436","3,362",Texas
992,Carroll,"$64,495","$48,361","8,626","$25,430","20,732",Iowa
993,Wallace,"$59,038","$47,454",611,"$25,429","1,568",Kansas
994,McIntosh,"$50,887","$36,066","1,308","$25,427","2,791",North Dakota
995,Pawnee,"$49,191","$37,321","1,314","$25,426","2,759",Nebraska
996,Lee,"$62,194","$50,060","13,504","$25,409","35,535",Illinois
997,Turner,"$62,026","$51,925","3,461","$25,406","8,344",South Dakota
998,Genesee,"$62,864","$49,922","23,884","$25,403","59,872",New York
999,Clark,"$52,083","$41,129",932,"$25,385","2,188",Kansas
1000,Blue Earth,"$68,864","$49,935","24,476","$25,380","64,504",Minnesota
1001,Wicomico,"$59,379","$51,092","36,405","$25,378","99,683",Maryland
1002,Bayfield,"$55,654","$44,944","6,964","$25,377","15,071",Wisconsin
1003,Meade,"$58,193","$49,324","10,083","$25,375","25,914",South Dakota
1004,White,"$56,110","$42,914","6,240","$25,375","14,630",Illinois
1005,,"$59,743","$46,230","405,525","$25,373","998,554",
1006,Ottawa,"$67,166","$56,453","94,666","$25,371","267,017",Michigan
1007,Steuben,"$56,903","$47,476","41,503","$25,371","98,951",New York
1008,Rice,"$72,133","$59,915","22,299","$25,370","64,585",Minnesota
1009,Miami,"$61,644","$52,040","41,239","$25,369","102,867",Ohio
1010,Decatur,"$46,973","$36,258","5,066","$25,368","11,695",Tennessee
1011,Bandera,"$63,387","$49,215","8,405","$25,364","20,533",Texas
1012,,"$58,897","$49,774","2,370,289","$25,358","6,479,703",
1013,Washington County,"$52,949","$42,075","51,771","$25,355","123,891",Tennessee
1014,McPherson,"$57,981","$54,926",169,"$25,339",382,Nebraska
1015,Portage,"$66,446","$52,697","60,992","$25,332","163,387",Ohio
1016,Chemung,"$60,715","$48,804","35,622","$25,329","88,876",New York
1017,Logan,"$59,412","$41,765","1,282","$25,328","2,775",Kansas
1018,Wayne,"$62,677","$52,601","36,399","$25,327","93,224",New York
1019,Auglaize,"$62,940","$52,239","18,241","$25,323","45,906",Ohio
1020,Harlan,"$55,400","$45,920","1,573","$25,322","3,445",Nebraska
1021,Gilliam,"$56,667","$44,743",883,"$25,320","1,915",Oregon
1022,Poweshiek,"$66,827","$50,349","7,488","$25,318","18,804",Iowa
1023,Tama,"$60,657","$51,670","6,794","$25,311","17,661",Iowa
1024,Newport News City,"$59,514","$51,027","69,211","$25,310","181,025",Virginia
1025,Yellow Medicine,"$61,389","$52,510","4,135","$25,303","10,294",Minnesota
1026,Andrew,"$67,006","$54,336","6,691","$25,302","17,319",Missouri
1027,Henry,"$67,683","$60,781","69,238","$25,299","206,349",Georgia
1028,McClain,"$67,537","$54,426","12,749","$25,293","35,155",Oklahoma
1029,Kings,"$51,581","$46,085","916,025","$25,289","2,539,789",New York
1030,Eau Claire,"$67,630","$48,090","39,754","$25,287","99,788",Wisconsin
1031,Cass,"$53,277","$45,045","12,906","$25,287","28,485",Minnesota
1032,,"$56,928","$46,334","3,715,565","$25,284","9,651,380",
1033,Kewaunee,"$67,033","$53,588","8,145","$25,282","20,578",Wisconsin
1034,Allen,"$60,867","$49,370","138,212","$25,279","358,324",Indiana
1035,Green Lake,"$60,358","$46,994","8,001","$25,275","19,042",Wisconsin
1036,Butler,"$63,153","$52,026","6,189","$25,269","14,909",Iowa
1037,Pima,"$57,757","$45,841","384,041","$25,269","986,891",Arizona
1038,Nemaha,"$68,516","$42,672","3,001","$25,269","7,207",Nebraska
1039,Frontier,"$58,636","$50,227","1,086","$25,262","2,568",Nebraska
1040,Marshall,"$60,625","$44,032","4,345","$25,262","10,057",Kansas
1041,Keya Paha,"$44,231","$36,923",354,"$25,251",698,Nebraska
1042,Fillmore,"$64,379","$50,657","8,422","$25,249","20,870",Minnesota
1043,Cabarrus,"$66,058","$53,551","64,713","$25,247","181,415",North Carolina
1044,Hampton City,"$62,991","$50,705","52,511","$25,247","136,957",Virginia
1045,Westmoreland,"$55,966","$49,157","7,130","$25,245","17,532",Virginia
1046,Hamlin,"$63,659","$55,563","2,041","$25,233","5,925",South Dakota
1047,Madison,"$66,688","$53,589","26,565","$25,230","72,839",New York
1048,Crawford,"$59,235","$46,216","7,731","$25,214","19,707",Illinois
1049,Knox,"$54,286","$42,230","3,776","$25,214","8,617",Nebraska
1050,Cherry,"$54,185","$45,464","2,618","$25,213","5,735",Nebraska
1051,Caroline,"$66,471","$58,632","11,806","$25,211","32,871",Maryland
1052,Burt,"$62,449","$46,817","2,899","$25,203","6,748",Nebraska
1053,Houston,"$66,233","$54,893","52,330","$25,195","143,205",Georgia
1054,Lincoln,"$53,750","$42,365","20,913","$25,194","46,070",Oregon
1055,Cooke,"$59,160","$50,067","14,466","$25,186","38,484",Texas
1056,Antelope,"$54,688","$43,518","2,855","$25,186","6,600",Nebraska
1057,Yavapai,"$53,015","$42,987","91,349","$25,186","211,968",Arizona
1058,,"$58,755","$49,179","3,518,097","$25,182","9,810,417",
1059,Hood River,"$64,422","$56,725","8,144","$25,181","22,427",Oregon
1060,DeSoto,"$64,822","$58,505","57,979","$25,176","163,975",Mississippi
1061,Hardin,"$64,360","$49,342","7,061","$25,153","17,453",Iowa
1062,Wilkin,"$62,835","$50,507","2,685","$25,148","6,576",Minnesota
1063,Christian,"$60,493","$52,838","29,652","$25,134","78,724",Missouri
1064,Shenandoah,"$57,422","$49,625","17,397","$25,134","42,270",Virginia
1065,Douglas,"$59,716","$45,418","18,933","$25,129","43,994",Wisconsin
1066,Lee,"$66,352","$51,534","6,078","$25,123","16,603",Texas
1067,Big Horn,"$61,910","$52,589","4,462","$25,119","11,741",Wyoming
1068,Haskell,"$60,125","$52,415","1,411","$25,114","4,219",Kansas
1069,Washington County,"$54,606","$41,897","22,755","$25,109","54,804",Virginia
1070,Oneida,"$62,090","$48,729","91,075","$25,103","234,206",New York
1071,Clinton,"$64,341","$53,826","8,089","$25,100","20,659",Missouri
1072,Amelia,"$61,403","$52,885","4,808","$25,100","12,712",Virginia
1073,Iroquois,"$58,930","$47,079","11,892","$25,098","29,446",Illinois
1074,Keith,"$58,047","$41,970","3,786","$25,097","8,247",Nebraska
1075,Tipton,"$60,757","$52,686","6,622","$25,093","15,834",Indiana
1076,Chatham,"$55,978","$45,794","102,484","$25,093","271,102",Georgia
1077,Rutherford,"$66,755","$55,401","96,731","$25,077","269,407",Tennessee
1078,Livingston,"$66,164","$56,811","46,246","$25,076","130,192",Louisiana
1079,Clayton,"$57,348","$47,494","7,707","$25,074","17,990",Iowa
1080,Faribault,"$56,849","$44,264","6,331","$25,065","14,430",Minnesota
1081,Winneshiek,"$66,694","$53,122","8,042","$25,062","21,038",Iowa
1082,Barry,"$63,064","$52,186","22,610","$25,059","59,121",Michigan
1083,Palo Alto,"$60,550","$44,663","3,948","$25,055","9,352",Iowa
1084,Box Butte,"$58,521","$46,373","4,860","$25,046","11,312",Nebraska
1085,Muscatine,"$60,616","$51,425","16,410","$25,038","42,798",Iowa
1086,Lake,"$57,267","$44,610","3,079","$25,029","7,332",Colorado
1087,Limestone,"$57,858","$48,619","31,794","$25,020","85,264",Alabama
1088,Trempealeau,"$61,196","$49,143","11,745","$25,017","29,098",Wisconsin
1089,Burnet,"$58,125","$48,115","16,588","$24,998","43,230",Texas
1090,Montgomery,"$55,971","$43,401","222,578","$24,997","536,433",Ohio
1091,Sierra,"$52,454","$39,009","1,253","$24,996","3,127",California
1092,Mower,"$61,094","$46,004","15,855","$24,990","39,252",Minnesota
1093,Washington County,"$55,606","$44,683","2,019","$24,977","4,796",Colorado
1094,Montgomery,"$56,684","$44,790","88,844","$24,975","228,980",Alabama
1095,Portage,"$65,214","$50,996","27,975","$24,972","70,136",Wisconsin
1096,Sullivan,"$60,166","$48,089","29,531","$24,963","77,134",New York
1097,Kaufman,"$67,995","$61,194","34,922","$24,954","105,220",Texas
1098,Livingston,"$64,978","$54,614","14,446","$24,952","38,687",Illinois
1099,Stevens,"$63,438","$54,494","1,936","$24,950","5,713",Kansas
1100,Aitkin,"$50,684","$41,617","7,741","$24,939","16,032",Minnesota
1101,Saline,"$55,970","$47,215","22,173","$24,935","55,633",Kansas
1102,Garrett,"$56,341","$45,206","11,974","$24,932","30,014",Maryland
1103,St. James,"$63,632","$55,443","7,786","$24,930","21,916",Louisiana
1104,Allamakee,"$56,269","$48,831","5,862","$24,926","14,242",Iowa
1105,Woodward,"$63,096","$51,867","7,382","$24,922","20,483",Oklahoma
1106,Carter,"$60,000","$39,659",495,"$24,921","1,241",Montana
1107,Jasper,"$63,418","$50,513","14,826","$24,905","36,710",Iowa
1108,Pottawatomie,"$71,259","$56,854","7,974","$24,892","22,009",Kansas
1109,Kosciusko,"$60,725","$50,859","29,705","$24,881","77,527",Indiana
1110,Hubbard,"$55,744","$45,961","8,670","$24,880","20,440",Minnesota
1111,De Baca,"$46,534","$37,660",689,"$24,879","1,975",New Mexico
1112,Orange,"$56,830","$47,581","415,790","$24,877","1,175,416",Florida
1113,Wagoner,"$63,730","$55,723","27,016","$24,874","74,077",Oklahoma
1114,Carbon,"$57,049","$48,900","25,903","$24,861","65,074",Pennsylvania
1115,Dewey,"$57,868","$46,488","1,830","$24,860","4,800",Oklahoma
1116,Alachua,"$62,139","$42,149","96,043","$24,857","249,848",Florida
1117,Kent,"$64,414","$55,149","58,524","$24,851","165,030",Delaware
1118,Washburn,"$52,635","$41,924","7,348","$24,850","15,842",Wisconsin
1119,Kent,"$56,016","$46,875",401,"$24,839",913,Texas
1120,West Baton Rouge,"$64,567","$50,926","8,820","$24,838","24,012",Louisiana
1121,Sherman,"$51,469","$41,835","1,369","$24,837","3,129",Nebraska
1122,Broome,"$59,345","$45,958","79,763","$24,835","199,298",New York
1123,Benzie,"$54,971","$47,366","7,682","$24,831","17,474",Michigan
1124,Pierce,"$62,143","$51,924","2,916","$24,830","7,211",Nebraska
1125,Buffalo,"$67,076","$50,963","17,705","$24,830","46,885",Nebraska
1126,Effingham,"$69,450","$63,030","17,830","$24,824","52,961",Georgia
1127,Johnson,"$65,392","$57,535","52,044","$24,816","152,384",Texas
1128,Keweenaw,"$50,250","$39,038","1,014","$24,802","2,181",Michigan
1129,Lafourche,"$59,941","$50,572","35,072","$24,798","96,755",Louisiana
1130,Luzerne,"$58,150","$44,402","130,880","$24,793","320,827",Pennsylvania
1131,Jefferson,"$64,116","$54,845","80,812","$24,792","219,636",Missouri
1132,Osage,"$62,512","$50,205","6,558","$24,789","16,260",Kansas
1133,Schleicher,"$70,556","$50,648","1,078","$24,787","3,316",Texas
1134,Ballard,"$56,414","$44,588","3,327","$24,781","8,282",Kentucky
1135,Jefferson,"$57,234","$44,843","3,301","$24,777","7,563",Nebraska
1136,Monterey,"$63,669","$59,168","125,428","$24,775","420,569",California
1137,Fulton,"$63,355","$52,856","16,285","$24,771","42,601",Ohio
1138,Delta,"$51,539","$42,078","12,671","$24,771","30,659",Colorado
1139,Aiken,"$56,150","$44,509","63,388","$24,769","161,710",South Carolina
1140,Albany,"$67,949","$42,774","15,257","$24,758","36,745",Wyoming
1141,Ingham,"$62,971","$45,321","108,823","$24,754","281,531",Michigan
1142,Staunton City,"$61,671","$38,501","10,495","$24,753","23,989",Virginia
1143,Baltimore City,"$50,151","$41,385","241,455","$24,750","621,445",Maryland
1144,Atchison,"$54,247","$44,426","2,448","$24,748","5,605",Missouri
1145,Franklin,"$60,741","$48,857","39,263","$24,742","101,569",Missouri
1146,Orange,"$59,926","$49,507","31,162","$24,736","82,372",Texas
1147,San Jacinto,"$53,569","$46,107","9,425","$24,733","26,669",Texas
1148,Cascade,"$58,565","$44,963","33,430","$24,727","81,621",Montana
1149,Churchill,"$60,951","$49,830","9,253","$24,716","24,572",Nevada
1150,Edwards,"$55,114","$46,551","1,269","$24,714","2,998",Kansas
1151,San Juan,"$53,194","$39,583",321,"$24,711",659,Colorado
1152,Cayuga,"$63,082","$51,581","31,311","$24,702","79,767",New York
1153,Victoria,"$56,062","$50,364","32,072","$24,700","88,068",Texas
1154,Montague,"$55,267","$44,231","8,038","$24,699","19,668",Texas
1155,Warren,"$64,196","$50,830","12,572","$24,692","32,667",Missouri
1156,Kootenai,"$56,911","$49,002","55,679","$24,685","140,785",Idaho
1157,Russell,"$48,132","$37,111","3,317","$24,683","6,945",Kansas
1158,Morris,"$57,161","$47,445","2,503","$24,680","5,869",Kansas
1159,Clinton,"$63,665","$50,282","31,901","$24,676","81,865",New York
1160,Lincoln,"$61,366","$49,021","12,513","$24,669","28,650",Wisconsin
1161,Norfolk City,"$51,986","$44,747","85,557","$24,659","244,090",Virginia
1162,Asotin,"$55,321","$43,175","9,058","$24,659","21,802",Washington
1163,Macoupin,"$60,309","$49,590","19,254","$24,658","47,462",Illinois
1164,Osceola,"$63,939","$48,659","2,676","$24,653","6,335",Iowa
1165,Dickey,"$62,298","$47,359","2,178","$24,644","5,264",North Dakota
1166,Merrick,"$56,185","$50,859","3,316","$24,639","7,802",Nebraska
1167,Hawaii County,"$59,862","$51,250","64,909","$24,635","187,044",Hawaii
1168,,"$59,911","$48,248","2,481,793","$24,635","6,514,861",
1169,Chippewa,"$61,420","$50,551","24,456","$24,628","62,676",Wisconsin
1170,Custer,"$56,136","$44,873","4,738","$24,615","10,872",Nebraska
1171,Whitley,"$61,149","$51,914","13,094","$24,613","33,274",Indiana
1172,Polk,"$53,909","$44,745","8,788","$24,611","20,381",North Carolina
1173,Dickinson,"$53,342","$44,136","11,432","$24,611","26,201",Michigan
1174,Park,"$56,960","$42,426","6,445","$24,611","15,621",Montana
1175,Davison,"$62,438","$48,341","8,471","$24,597","19,622",South Dakota
1176,Madison,"$58,592","$46,566","13,867","$24,593","34,995",Nebraska
1177,Floyd,"$56,004","$43,826","7,007","$24,590","16,177",Iowa
1178,Dodge,"$57,827","$48,626","15,221","$24,588","36,675",Nebraska
1179,Prince of Wales-Hyder Census Area,"$53,333","$46,071","2,240","$24,581","5,672",Alaska
1180,Moffat,"$68,822","$53,231","5,062","$24,577","13,447",Colorado
1181,Wheeler,"$46,875","$37,974",625,"$24,575","1,292",Oregon
1182,Dodge,"$64,923","$53,075","33,173","$24,573","88,598",Wisconsin
1183,Autauga,"$66,349","$53,682","20,071","$24,571","54,907",Alabama
1184,Hartley,"$75,527","$65,750","1,748","$24,566","6,076",Texas
1185,Kimball,"$52,276","$42,180","1,641","$24,565","3,779",Nebraska
1186,Anderson,"$55,940","$43,620","30,548","$24,561","75,263",Tennessee
1187,Franklin County,"$55,970","$45,624","23,358","$24,557","56,195",Virginia
1188,Monona,"$57,292","$42,025","3,981","$24,557","9,208",Iowa
1189,Gage,"$61,483","$47,654","9,133","$24,555","22,055",Nebraska
1190,Grant,"$57,699","$48,896","3,159","$24,554","7,307",South Dakota
1191,Pennington,"$61,448","$45,633","5,806","$24,554","14,008",Minnesota
1192,Clay,"$68,533","$52,410","22,463","$24,550","59,638",Minnesota
1193,Nemaha,"$61,696","$47,122","4,117","$24,550","10,149",Kansas
1194,Ray,"$63,014","$52,698","8,735","$24,549","23,290",Missouri
1195,Winnebago,"$61,599","$45,603","4,591","$24,547","10,732",Iowa
1196,Haywood,"$52,014","$41,557","26,608","$24,536","58,951",North Carolina
1197,Carroll,"$60,427","$50,542","7,995","$24,531","20,109",Indiana
1198,Boyd,"$53,328","$40,379","19,530","$24,530","49,314",Kentucky
1199,Whiteside,"$58,305","$47,667","23,370","$24,525","58,150",Illinois
1200,Clark,"$57,583","$45,853","14,498","$24,524","35,608",Kentucky
1201,Mitchell,"$66,895","$51,078","4,389","$24,518","10,739",Iowa
